author_first,city_code1,ym1,city_unitn1,city_units1,class_num1,mag_classn1,class_num_num1,mag_classn_num1,coauthor1,city_code2,ym2,city_unitn2,city_units2,class_num2,mag_classn2,class_num_num2,mag_classn_num2,coauthor2
刘刚,1100.0,2016-08-01;,1.0,中国人民大学;,F;F;,经济与管理;,1,1, 王泽宇; 程熙鎔;,1200.0,2003-10-01;2002-04-01;,1.0,南开大学;,F;F;,经济与管理;经济与管理;,1,1,
刘力,4401.0,2005-08-01;,1.0,广东外语外贸大学;,F;,经济与管理;,1,1,,1100.0,2002-08-01;,1.0,北京大学;,F;,经济与管理;,1,1, 俞竞;
刘勇,4201.0,2012-12-01;,1.0,武汉大学;,F;F;,经济与管理;,1,1, 白小滢; 邹薇;,3601.0,2001-03-01;,1.0,江西财经大学;,F;,经济与管理;,1,1,
刘啟仁,3502.0,2015-12-01;,1.0,厦门大学;,F;,经济与管理;,1,1, 黄建忠;,4401.0,2016-12-01;,1.0,暨南大学;,F;,经济与管理;,1,1, 黄建忠;
刘喜和,3100.0,2017-06-01;,1.0,上海大学;,F;F;,经济与管理;,1,1, 周扬; 穆圆媛;,1200.0,2013-06-01;2008-08-01;,1.0,天津财经大学;,F;F;F;F;F;,经济与管理;经济与管理;,1,1,
刘德鹏,3201.0,2015-12-01;,1.0,南京大学;,C;,经济与管理;,1,1, 贾良定; 孙雀密; 蔡亚华; 杨椅伊;,3701.0,2017-11-01;,1.0,山东大学;,F;,经济与管理;,1,1, 贾良定; 刘畅唱; 蔡亚华; 郑雅琴;
刘拥军,1100.0,2004-04-01;,1.0,中国农业大学;,F;,经济与管理;,1,1,,1200.0,2002-02-01;,1.0,南开大学;,F;,经济与管理;,1,1,
刘文革,3301.0,2016-11-01;2016-01-01;,1.0,浙江工商大学;,F;F;F;F;,经济与管理;经济与管理;,1,1, 周方召; 肖园园; 谢杰; 孙瑾;,2301.0,2005-07-01;2003-12-01;,1.0,哈尔滨商业大学;,F;F;,经济与管理;经济与管理;,1,1, 关立新; 张广中; 曲振涛;
刘斌,1100.0,2016-03-01;2016-09-01;2003-09-01;2002-07-01;2001-07-01;2001-10-01;,2.0,对外经济贸易大学;中国人民银行;;,F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1,1, 魏倩; 吕越; 祝坤福; 王乃嘉; 张怀清;,1200.0,2012-01-01;,1.0,南开大学;,F;F;F;,经济与管理;,1,1, 李磊;
刘晴,3401.0,2017-05-01;,1.0,合肥工业大学;,F;F;,经济与管理;,1,1, 程玲; 邵智; 陈清萍;,3100.0,2013-09-01;,1.0,上海财经大学;,F;F;,经济与管理;,1,1, 徐蕾;
刘洪军,1200.0,2002-10-01;,1.0,南开大学;,F;,经济与管理;,1,1,,2301.0,2004-04-01;,1.0,哈尔滨商业大学;,F;,经济与管理;,1,1,
刘瑞明,1100.0,2016-10-01;2017-03-01;,1.0,中国人民大学;,G;F;D;F;,经济与管理;经济与管理;,3,1, 赵仁杰; 段雨玮; 黄维乔;,3100.0,2010-01-01;2011-01-01;,1.0,复旦大学;,F;F;F;F;F;,经济与管理;经济与管理;,1,1, 石磊;
