author_first,city_code_max,city_code_min,city_code1
朱建国,3100.0,3100.0,False
朱建武,1200.0,1200.0,False
朱彤,1200.0,1200.0,False
朱恒鹏,1100.0,1100.0,False
朱慧,3301.0,3301.0,False
朱成科,1100.0,1100.0,False
朱敏,1100.0,1100.0,False
朱文晖,3100.0,1100.0,True
朱文革,3100.0,3100.0,False
朱旭峰,1100.0,1100.0,False
朱明,5101.0,5101.0,False
朱明星,3701.0,3701.0,False
朱映惠,1100.0,1100.0,False
朱春燕,3701.0,3701.0,False
朱晶,3201.0,3201.0,False
朱楚珠,6101.0,6101.0,False
朱武祥,1100.0,1100.0,False
朱殊洋,4401.0,4401.0,False
朱毅峰,1100.0,1100.0,False
朱江丽,3201.0,3201.0,False
朱沆,4401.0,4401.0,False
朱海莎,6101.0,6101.0,False
朱涛,3201.0,3201.0,False
朱澄,1100.0,1100.0,False
朱炜,3701.0,3701.0,False
朱玲,1100.0,1100.0,False
朱纯福,3100.0,3100.0,False
朱艳敏,3205.0,3205.0,False
朱苏丽,4201.0,4201.0,False
朱荫贵,3100.0,3100.0,False
朱莉芬,5000.0,5000.0,False
朱蓉,1100.0,1100.0,False
朱超,1100.0,1100.0,False
朱轶,4401.0,4401.0,False
朱钟棣,3100.0,3100.0,False
朱钧钧,3100.0,3100.0,False
朱铭来,1200.0,1200.0,False
朴哲范,3301.0,3301.0,False
权小锋,3502.0,3205.0,True
李 豫,3100.0,3100.0,False
李三希,1100.0,1100.0,False
李世刚,4401.0,1100.0,True
李丛文,1200.0,1200.0,False
李东,2301.0,2301.0,False
李丹,3201.0,3201.0,False
李义平,1100.0,1100.0,False
李义超,3301.0,3301.0,False
李书娟,4401.0,4401.0,False
李云娥,1200.0,1200.0,False
李云森,5000.0,5000.0,False
李云珠,4201.0,4201.0,False
李井林,4201.0,4201.0,False
李仲飞,4401.0,4401.0,False
李任玉,5101.0,4403.0,True
李伏安,1100.0,1100.0,False
李伟,1100.0,1100.0,False
李伟伟,1100.0,1100.0,False
李伟杰,1100.0,1100.0,False
李余,5101.0,5101.0,False
李佳,3301.0,1100.0,True
李俊青,1200.0,1200.0,False
李健,4201.0,1100.0,True
李健英,1200.0,1200.0,False
李元,3100.0,3100.0,False
李光华,3100.0,3100.0,False
李光泗,3201.0,3201.0,False
李克穆,1100.0,1100.0,False
李兰,1100.0,1100.0,False
李兰冰,1200.0,1200.0,False
李兵,1100.0,1100.0,False
李军林,1100.0,1100.0,False
李冬昕,3201.0,3201.0,False
李冰清,1200.0,1200.0,False
李凤,5101.0,5101.0,False
李凤城,1200.0,1200.0,False
李刚,3100.0,3100.0,False
李前胜,2101.0,2101.0,False
李剑,3701.0,3701.0,False
李剑阁,1100.0,1100.0,False
李力行,1100.0,1100.0,False
李勇,6101.0,6101.0,False
李勤,1100.0,1100.0,False
李华,3100.0,3100.0,False
李华民,4401.0,4401.0,False
李发昇,1200.0,1200.0,False
李后建,5118.0,5118.0,False
李君,1100.0,1100.0,False
李君华,4301.0,4201.0,True
李周,1100.0,1100.0,False
李哲,3100.0,3100.0,False
李善同,1100.0,1100.0,False
李善民,4401.0,4401.0,False
李嘉楠,3502.0,3502.0,False
李四海,4401.0,4201.0,True
李国平,6101.0,6101.0,False
李国正,1100.0,1100.0,False
李坤望,1200.0,1200.0,False
李培功,3502.0,3502.0,False
李培馨,1100.0,1100.0,False
李堪,1100.0,1100.0,False
李增刚,3701.0,3701.0,False
李增泉,3100.0,3100.0,False
李增福,4401.0,4401.0,False
李大勇,1200.0,1200.0,False
李大武,1100.0,1100.0,False
李天宇,2201.0,2201.0,False
李天栋,3100.0,3100.0,False
李威,1100.0,1100.0,False
李子奈,1100.0,1100.0,False
李子联,3201.0,3201.0,False
李学峰,1200.0,1200.0,False
李宁,3201.0,3201.0,False
李宇嘉,4401.0,4401.0,False
李守耕,1100.0,1100.0,False
李安方,3100.0,3100.0,False
李宏,1200.0,1200.0,False
李宏彬,1100.0,1100.0,False
李宏瑾,2201.0,1100.0,True
李定安,4401.0,4401.0,False
李宝伟,1200.0,1200.0,False
李宝元,1100.0,1100.0,False
李宝库,2109.0,2109.0,False
李宝翼,1100.0,1100.0,False
李实,1100.0,1100.0,False
李家军,6101.0,6101.0,False
李容根,1200.0,1200.0,False
李宾,4303.0,1100.0,True
李富有,6101.0,6101.0,False
李小娟,1401.0,1401.0,False
李小平,4201.0,3201.0,True
李小林,3702.0,3702.0,False
李小瑛,4401.0,4401.0,False
李小胜,3403.0,3403.0,False
李小龙,3301.0,3301.0,False
李少育,5101.0,5101.0,False
李尚骜,4201.0,1100.0,True
李岩,2101.0,2101.0,False
李峥,1100.0,1100.0,False
李巍,3100.0,3100.0,False
李常青,3502.0,3502.0,False
