,author_first,unit_city_code,unitnum,unitdiff
26657,梁伟,3702.0,2,中国海洋大学;青岛农业大学;
26658,梁伟,4201.0,2,武汉大学;武汉电视台;
26659,梁伟,4401.0,2,暨南大学;广州体育学院;
26660,梁军,1100.0,7,中国人民大学;中国科学院;北京大学;北京纲正知识产权事务咨询服务有限公司;北京联合大学;工业和信息化部;信息产业部;
26661,梁军,6101.0,2,西安交通大学;陕西省委党校;
26662,梁冬梅,2201.0,2,吉林工商学院;吉林财税高等专科学校;
26663,梁冰,3100.0,2,上海交通大学;上海市火炬高技术产业开发中心;
26664,梁冰,4101.0,2,河南教育学院;郑州大学;
26665,梁冰,6101.0,2,西安交通大学;西安第八中学;
26666,梁凯,3201.0,2,东南大学;南京工业大学;
26667,梁刚,1100.0,2,北京师范大学;北京邮电大学;
26668,梁刚,5101.0,2,四川大学;四川旅游学院;
26669,梁剑,1100.0,2,中国人民大学;北京交通大学;
26670,梁剑,3201.0,2,南京航空航天大学;南京师范大学;
26671,梁勇,1100.0,10,中国社会科学院;中国科学院;北京师范大学;北京大学;中央财经大学;中国艺术研究院;中国流行色协会;中国传媒大学;北京垦创科技有限责任公司;国家外汇管理局;
26672,梁勇,4401.0,2,广东技术师范学院;中山大学;
26673,梁勇,5101.0,2,四川大学;四川师范大学;
26674,梁向阳,6106.0,2,延安大学;陕西省延安大学;
26675,梁君,3100.0,3,上海理工大学;华东师范大学;上海师范大学;
26676,梁君,3201.0,3,南京大学;南京师范大学;南京政治学院;
26677,梁哲,1100.0,2,清华大学;中国科学院;
26678,梁坤,1100.0,2,中国人民大学;中央电视台;
26679,梁威,1100.0,3,北京师范大学;中国科学院;北京教育科学研究院;
26680,梁娜,1100.0,2,中国科学院;中国农业大学;
26681,梁娜,1401.0,2,山西大学;山西财经大学;
26682,梁娟,1100.0,2,中央财经大学;首都师范大学;
26683,梁娟,3100.0,2,上海财经大学;上海理工大学;
26684,梁娟,3501.0,4,福州大学;福建经济管理干部学院;福建师范大学;福建江夏学院;
26685,梁娟,4201.0,2,武汉理工大学;华中师范大学;
