author_first,city_code1,ym1,coauthor1,class_num1,mag_classn1,city_code2,ym2,coauthor2,class_num2,mag_classn2,move_time,class_overlap,mag_overlap,coauthor_overlap
张同龙,4401.0,2017-01-01;, 张林秀;,D;,经济与管理;,1200.0,2008-01-01;,,F;,经济与管理;,1,0,1,0
张宁,1100.0,2006-07-01;, 胡鞍钢; 郑京海;,F;,经济与管理;,4401.0,2005-06-01;,,F;F;,经济与管理;,1,1,1,0
张宇,1100.0,2017-05-01;2016-06-01;,,F;F;F;,经济与管理;经济与管理;,1200.0,2014-04-01;2010-07-01;2013-06-01;, 蒋殿春;,F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,1,0
张峰,1100.0,2017-04-01;, 黄玖立; 禹航;,D;,经济与管理;,1200.0,2016-02-01;, 黄玖立; 王睿;,F;D;,经济与管理;,1,1,1,1
张平,1100.0,2016-08-01;2006-02-01;, 郭冠清;,F;F;,经济与管理;经济与管理;,3100.0,2016-12-01;2012-01-01;, 侯一麟; 赵国昌; 罗知;,F;F;D;F;F;,经济与管理;经济与管理;,3,1,1,0
张庆君,1100.0,2013-06-01;, 何德旭;,F;F;,经济与管理;,1200.0,2017-07-01;, 刘靖;,F;F;,经济与管理;,1,1,1,0
张建军,1100.0,2001-09-01;,,F;,经济与管理;,4201.0,2017-03-01;,,D;,经济与管理;,1,0,1,0
张强,5301.0,2015-10-01;, 李颖异;,F;,经济与管理;,1100.0,2002-11-01;2011-04-01;, 刘西顺; 王伟; 卢荻;,F;F;F;,经济与管理;经济与管理;,1,1,1,0
张强,5301.0,2015-10-01;, 李颖异;,F;,经济与管理;,4301.0,2010-04-01;2005-09-01;2002-05-01;, 武次冰; 刘彦; 付强;,F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,1,0
张强,1100.0,2002-11-01;2011-04-01;, 刘西顺; 王伟; 卢荻;,F;F;F;,经济与管理;经济与管理;,4301.0,2010-04-01;2005-09-01;2002-05-01;, 武次冰; 刘彦; 付强;,F;F;F;,经济与管理;经济与管理;经济与管理;,3,1,1,0
张惠,4401.0,2015-06-01;,,D;,经济与管理;,3201.0,2010-12-01;, 陆岷峰;,F;,经济与管理;,1,0,1,0
张晏,1100.0,2004-07-01;, 龚六堂;,F;,经济与管理;,3100.0,2005-10-01;, 龚六堂;,F;F;,经济与管理;,1,1,1,1
