author_first,unit_city_code,ym,city_unitn,city_units,class_num,mag_classn,coauthor,author_first,unit_city_code,class_num_num,mag_classn_num
姚勇,1100.0,2005-04-01;,1,中国人民大学;;,F;,经济与管理;, 董利;,姚勇,1100.0,1,1
姚勇,1200.0,2003-04-01;,1,南开大学;;,F;,经济与管理;, 罗娅;,姚勇,1200.0,1,1
姚树洁,5000.0,2017-05-01;2015-12-01;2014-11-01;,1,重庆大学;;,F;F;F;F;F;,经济与管理;经济与管理;经济与管理;, 冯根福; 王攀; 欧璄华;,姚树洁,5000.0,1,1
姚树洁,6101.0,2005-07-01;,1,西安交通大学;;,F;,经济与管理;, 冯根福; 韩钟伟;,姚树洁,6101.0,1,1
姚洪心,3100.0,2012-07-01;,1,东华大学;;,F;F;F;,经济与管理;, 海闻;,姚洪心,3100.0,1,1
姚洪心,5101.0,2005-08-01;,1,西南交通大学;;,F;,经济与管理;, 刘存绪; 武振业;,姚洪心,5101.0,1,1
孙军,3207.0,2016-05-01;,1,淮海工学院;;,F;,经济与管理;, 高彦彦;,孙军,3207.0,1,1
孙军,3201.0,2008-10-01;,1,南京大学;;,F;F;F;,经济与管理;,nan,孙军,3201.0,1,1
孙凤,1100.0,2002-04-01;,1,清华大学;;,F;,经济与管理;,nan,孙凤,1100.0,1,1
孙凤,1200.0,2001-02-01;,1,南开大学;;,F;,经济与管理;,nan,孙凤,1200.0,1,1
孙君阳,1100.0,2011-08-01;,1,中央财经大学;;,F;F;,经济与管理;, 徐娜;,孙君阳,1100.0,1,1
孙君阳,3701.0,2008-09-01;,1,山东大学;;,F;,经济与管理;, 殷世波;,孙君阳,3701.0,1,1
孙天琦,3701.0,2004-08-01;,1,山东大学;;,F;,经济与管理;,nan,孙天琦,3701.0,1,1
孙天琦,6101.0,2001-10-01;,1,西安交通大学;;,F;,经济与管理;,nan,孙天琦,6101.0,1,1
孙楚仁,5101.0,2017-06-01;,1,西南财经大学;;,F;F;F;,经济与管理;, 凌海涛; 陈瑾;,孙楚仁,5101.0,1,1
