author_first,author_unit_first,unit_city_code,city_unitn,city_units,class_num,class_num_num,coauthor,mag_classn,mag_classn_num,ym,author_first0
姚树洁,西安交通大学;,6101.0,1.0,西安交通大学;,F;,1, 冯根福; 韩钟伟;,经济与管理;,1,2005-07-01;,姚树洁
姚树洁,重庆大学;,5000.0,1.0,重庆大学;,F;F;F;F;F;,1, 冯根福; 王攀; 欧璄华;,经济与管理;经济与管理;经济与管理;,1,2017-05-01;2015-12-01;2014-11-01;,姚树洁
姚洪心,东华大学;,3100.0,1.0,东华大学;,F;F;F;,1, 海闻;,经济与管理;,1,2012-07-01;,姚洪心
姚洪心,西南交通大学;,5101.0,1.0,西南交通大学;,F;,1, 刘存绪; 武振业;,经济与管理;,1,2005-08-01;,姚洪心
孙军,南京大学;,3201.0,1.0,南京大学;,F;F;F;,1,,经济与管理;,1,2008-10-01;,孙军
孙军,淮海工学院;,3207.0,1.0,淮海工学院;,F;,1, 高彦彦;,经济与管理;,1,2016-05-01;,孙军
孙凤,南开大学;,1200.0,1.0,南开大学;,F;,1,,经济与管理;,1,2001-02-01;,孙凤
孙凤,清华大学;,1100.0,1.0,清华大学;,F;,1,,经济与管理;,1,2002-04-01;,孙凤
孙君阳,山东大学;,3701.0,1.0,山东大学;,F;,1, 殷世波;,经济与管理;,1,2008-09-01;,孙君阳
孙君阳,中央财经大学;,1100.0,1.0,中央财经大学;,F;F;,1, 徐娜;,经济与管理;,1,2011-08-01;,孙君阳
孙天琦,山东大学;,3701.0,1.0,山东大学;,F;,1,,经济与管理;,1,2004-08-01;,孙天琦
孙天琦,西安交通大学;,6101.0,1.0,西安交通大学;,F;,1,,经济与管理;,1,2001-10-01;,孙天琦
孙楚仁,西南财经大学;,5101.0,1.0,西南财经大学;,F;F;F;,1, 凌海涛; 陈瑾;,经济与管理;,1,2017-06-01;,孙楚仁
孙楚仁,上海对外经贸大学;,3100.0,1.0,上海对外经贸大学;,F;,1, 王松; 赵瑞丽;,经济与管理;,1,2014-10-01;,孙楚仁
孙涛,中国人民银行;,1100.0,1.0,中国人民银行;,F;,1, 张晓晶;,经济与管理;,1,2007-07-01;,孙涛
孙涛,山东大学;,3701.0,1.0,山东大学;,F;F;,1, 黄少安;,经济与管理;,1,2010-12-01;,孙涛
孙红梅,上海师范大学;,3100.0,1.0,上海师范大学;,F;F;F;,1, 王雪;,经济与管理;,1,2013-07-01;,孙红梅
孙红梅,重庆大学;,5000.0,1.0,重庆大学;,F;,1, 宋宗宇;,经济与管理;,1,2017-05-01;,孙红梅
孙茂辉,上海师范大学;,3100.0,1.0,上海师范大学;,F;,1,,经济与管理;,1,2006-11-01;,孙茂辉
孙茂辉,中山大学;,4401.0,1.0,中山大学;,F;,1,,经济与管理;,1,2001-08-01;,孙茂辉
孟庆斌,中国人民大学;,1100.0,1.0,中国人民大学;,F;F;F;,1, 吴卫星; 于上尧; 杨俊华; 鲁冰;,经济与管理;经济与管理;,1,2015-03-01;2017-12-01;,孟庆斌
孟庆斌,南开大学;,1200.0,1.0,南开大学;,F;F;,1, 周爱民; 靳晓婷;,经济与管理;,1,2008-08-01;,孟庆斌
宋凌云,中山大学;,4401.0,1.0,中山大学;,F;F;,1, 王贤彬; 徐现祥;,经济与管理;,1,2012-10-01;,宋凌云
宋凌云,广西师范大学;,4503.0,1.0,广西师范大学;,F;,1, 王贤彬;,经济与管理;,1,2016-12-01;,宋凌云
尹振东,山东大学;,3701.0,1.0,山东大学;,D;,1,,经济与管理;,1,2011-04-01;,尹振东
尹振东,中央财经大学;,1100.0,1.0,中央财经大学;,F;,1, 汤玉刚;,经济与管理;,1,2016-04-01;,尹振东
巫强,南京大学;,3201.0,1.0,南京大学;,F;F;,1, 刘志彪;,经济与管理;,1,2009-06-01;,巫强
巫强,对外经济贸易大学;,1100.0,1.0,对外经济贸易大学;,F;,1, 周波;,经济与管理;,1,2017-08-01;,巫强
巴曙松,国务院;,1100.0,1.0,国务院;,F;,1, 韦勇凤; 孙兴亮;,经济与管理;,1,2012-06-01;,巴曙松
巴曙松,中国科学技术大学;,3401.0,1.0,中国科学技术大学;,F;F;F;,1, 严敏;,经济与管理;,1,2009-06-01;,巴曙松
张东刚,南开大学;,1200.0,1.0,南开大学;,F;,1,,经济与管理;,1,2001-06-01;,张东刚
张东刚,中国社会历史研究中心;,1100.0,1.0,中国社会历史研究中心;,F;,1,,经济与管理;,1,2002-12-01;,张东刚
