author_first,author_unit_first,unit_city_code,ym,coauthor,class_num,mag_classn,class_num_num,mag_classn_num,author_first.1,unit_city_code.1,city_unitn,city_units
江求川,华中科技大学;,4201.0,2013-04-01;, 张克中;,F;F;,经济与管理;,1,1,,,1,华中科技大学;
江求川,郑州大学;,4101.0,2015-07-01;,,D;F;,经济与管理;,2,1,,,1,郑州大学;
汤二子,南京审计大学;,3201.0,2017-02-01;,,F;,经济与管理;,1,1,,,1,南京审计大学;
汤二子,大连理工大学;,2102.0,2011-06-01;, 李影; 张海英;,F;F;F;,经济与管理;,1,1,,,1,大连理工大学;
汤向俊,江苏科技大学;,3211.0,2015-10-01;, 刘瑞明; 马光辉;,D;F;,经济与管理;,2,1,,,1,江苏科技大学;
汤向俊,西北大学;,6101.0,2010-10-01;, 任保平;,F;F;,经济与管理;,1,1,,,1,西北大学;
汤玉刚,复旦大学;,3100.0,2007-01-01;, 赵大平;,F;,经济与管理;,1,1,,,1,复旦大学;
汤玉刚,山东大学;,3701.0,2010-09-01;2015-10-01;2010-10-01;, 关凤利; 陈强; 满利苹; 苑程浩;,F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,,,1,山东大学;
汪伟,上海财经大学;,3100.0,2015-06-01;2013-11-01;2010-10-01;2016-10-01;2009-10-01;2008-04-01;, 艾春荣; 郭新强; 艾春荣;,F;C;F;F;F;C;F;C;F;F;C;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,2,1,,,1,上海财经大学;
汪伟,浙江大学;,3301.0,2006-03-01;, 金祥荣; 汪淼军;,F;,经济与管理;,1,1,,,1,浙江大学;
汪洋,中国人民银行;,1100.0,2016-04-01;,,F;F;,经济与管理;,1,1,,,1,中国人民银行;
汪洋,江西财经大学;,3601.0,2010-11-01;2007-04-01;2005-04-01;,,F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,,,1,江西财经大学;
沈利生,中国社会科学院;,1100.0,2003-11-01;, 吴振宇;,F;,经济与管理;,1,1,,,1,中国社会科学院;
沈利生,华侨大学;,3505.0,2006-03-01;, 王恒;,F;,经济与管理;,1,1,,,1,华侨大学;
