city_code,city_name,pro_code,pro_name,city_lat,city_long
4208,荆门市,42,湖北省,31.0376,112.1934
4209,孝感市,42,湖北省,30.927,113.9114
4210,荆州市,42,湖北省,30.3352,112.2397
4211,黄冈市,42,湖北省,30.4566,114.8672
4212,咸宁市,42,湖北省,29.8414,114.3225
4213,随州市,42,湖北省,31.6921,113.3763
4228,恩施土家族苗族自治州,42,湖北省,30.2722,109.4882
4301,长沙市,43,湖南省,28.2317,112.9334
4302,株洲市,43,湖南省,27.8276,113.134
4303,湘潭市,43,湖南省,27.8332,112.9386
4304,衡阳市,43,湖南省,26.8932,112.572
4305,邵阳市,43,湖南省,27.2421,111.4622
4306,岳阳市,43,湖南省,29.3571,113.129
4307,常德市,43,湖南省,29.0347,111.6929
4308,张家界市,43,湖南省,29.1171,110.4792
4309,益阳市,43,湖南省,28.557,112.3495
4310,郴州市,43,湖南省,25.7705,113.0147
4311,永州市,43,湖南省,26.424,111.6082
4312,怀化市,43,湖南省,27.555,109.9985
4313,娄底市,43,湖南省,27.7034,111.988
4331,湘西土家族苗族自治州,43,湖南省,28.3119,109.7392
4401,广州市,44,广东省,23.1318,113.2591
4402,韶关市,44,广东省,24.8104,113.5975
4403,深圳市,44,广东省,22.5458,114.0528
4404,珠海市,44,广东省,22.2707,113.5767
4405,汕头市,44,广东省,23.3533,116.6818
4406,佛山市,44,广东省,23.0241,113.1159
4407,江门市,44,广东省,22.5787,113.0819
4408,湛江市,44,广东省,21.2731,110.3549
4409,茂名市,44,广东省,21.663,110.9255
4412,肇庆市,44,广东省,23.0498,112.4598
4413,惠州市,44,广东省,23.1118,114.4162
4414,梅州市,44,广东省,24.2886,116.1222
4415,汕尾市,44,广东省,22.7888,115.3703
4416,河源市,44,广东省,23.7435,114.7004
4417,阳江市,44,广东省,21.8607,111.9772
4418,清远市,44,广东省,23.6818,113.056
4419,东莞市,44,广东省,23.0205,113.7518
4420,中山市,44,广东省,22.5194,113.3873
4451,潮州市,44,广东省,23.657,116.6226
4452,揭阳市,44,广东省,23.5524,116.3681
4453,云浮市,44,广东省,22.9151,112.0445
4501,南宁市,45,广西壮族自治区,22.8199,108.3621
4502,柳州市,45,广西壮族自治区,24.3255,109.416
4503,桂林市,45,广西壮族自治区,25.2764,110.2856
4504,梧州市,45,广西壮族自治区,23.477,111.2791
4505,北海市,45,广西壮族自治区,21.4813,109.1199
4506,防城港市,45,广西壮族自治区,21.6894,108.3499
4507,钦州市,45,广西壮族自治区,21.9799,108.6541
4508,贵港市,45,广西壮族自治区,23.1115,109.5989
4509,玉林市,45,广西壮族自治区,22.6391,110.1602
4510,百色市,45,广西壮族自治区,23.9023,106.6182
4511,贺州市,45,广西壮族自治区,24.4036,111.5667
4512,河池市,45,广西壮族自治区,24.6957,108.081
4513,来宾市,45,广西壮族自治区,23.7503,109.2215
4514,崇左市,45,广西壮族自治区,22.3793,107.3606
4601,海口市,46,海南省,20.0308,110.3289
