prov,year,central,west,east,lnploan,plandm,pgdpg,govexp,edu,marketization,open1
neimenggu,2010,0,1,0,1.164297313,1.97405 ,13.4530893,0.194782779,8.994106712,6.27,0.050667669
ningxia,2005,0,1,0,0.335851358,0.23093 ,8.984207922,0.261585674,7.374940793,4.47,0.129759752
ningxia,2006,0,1,0,0.48741003,0.34861 ,10.61216969,0.266166139,7.625147348,5.1,0.158576482
ningxia,2007,0,1,0,0.663677596,0.83577 ,10.79191777,0.263134989,7.821965996,5.44,0.132222516
ningxia,2008,0,1,0,0.819565603,0.49202 ,10.70590723,0.26962755,8.127968597,5.78,0.10972399
ningxia,2009,0,1,0,1.120976286,1.03779 ,9.803374027,0.319485114,8.216604367,5.94,0.06059032
ningxia,2010,0,1,0,1.332213073,1.42053 ,12.66326509,0.329966857,8.501386947,5.94,0.078700946
qinghai,2005,0,1,0,0.162153301,0.06240 ,10.64299436,0.31243098,6.758106405,3.09,0.062562941
qinghai,2006,0,1,0,0.277382867,0.04657 ,11.6092719,0.331010023,6.992721045,3.29,0.080480537
qinghai,2007,0,1,0,0.458559316,0.02971 ,11.86715297,0.353922368,7.178670656,3.54,0.058882681
qinghai,2008,0,1,0,0.61589765,0.05978 ,12.08893173,0.356953525,7.25586905,3.45,0.047442106
qinghai,2009,0,1,0,0.920960387,0.84282 ,9.148469012,0.450161107,7.447928086,3.25,0.036978085
qinghai,2010,0,1,0,1.174769386,0.84439 ,13.5404637,0.550493769,7.62972225,3.25,0.039632409
shandong,2005,0,0,1,0.36948425,0.53913 ,13.27811112,0.079829993,7.721856794,7.87,0.34423188
shandong,2006,0,0,1,0.523290405,0.75423 ,13.01506845,0.083717995,8.093669978,8.24,0.348426285
shandong,2007,0,0,1,0.62758449,0.90468 ,12.66326509,0.087747116,8.225511396,8.47,0.364887332
shandong,2008,0,0,1,0.755907599,0.91960 ,10.79571415,0.087435322,8.275060084,8.77,0.358855485
shandong,2009,0,0,1,1.008478946,1.67749 ,10.9750864,0.096401019,8.312774827,8.93,0.279036829
shandong,2010,0,0,1,1.164487395,2.65368 ,11.60036758,0.105821763,8.760426217,8.93,0.327195053
shanx,2005,1,0,0,0.231513476,0.14598 ,12.04461531,0.158077309,8.417131018,5.06,0.107796863
shanx,2006,1,0,0,0.349824829,0.17254 ,10.61601958,0.187670218,8.696537609,5.56,0.108790869
shanx,2007,1,0,0,0.463659504,0.31512 ,14.14995623,0.174276955,8.778324282,5.91,0.1473225
shanx,2008,1,0,0,0.558119876,0.38252 ,7.696104114,0.179760505,8.810585725,6.18,0.138075003
shanx,2009,1,0,0,0.824326323,0.49536 ,4.783732941,0.212236872,8.876429568,6.11,0.079334573
shanx,2010,1,0,0,0.991646265,0.74413 ,13.01506845,0.209911258,9.221591977,6.11,0.092727628
shanxi,2005,0,1,0,0.07645705,0.18155 ,12.66326509,0.162432176,8.062368298,4.37,0.095672117
shanxi,2006,0,1,0,0.187805927,0.32208 ,12.83932148,0.173190882,8.29884742,4.71,0.090489018
shanxi,2007,0,1,0,0.322888914,0.54343 ,14.49657703,0.183067033,8.400391701,4.82,0.091772601
shanxi,2008,0,1,0,0.487998988,0.42805 ,14.92817027,0.195297611,8.512365192,5.66,0.079924035
shanxi,2009,0,1,0,0.797833674,0.47381 ,12.4868982,0.225420304,8.584544566,5.65,0.070210412
shanxi,2010,0,1,0,0.981989223,0.71040 ,13.4530893,0.219176439,9.12195662,5.65,0.080956431
shanghai,2005,0,0,1,2.029288644,2.06219 ,7.138999609,0.179539473,10.0257261,8.97,1.657127344
shanghai,2006,0,0,1,2.096497399,1.92861 ,8.617769624,0.171562507,10.43824154,9.63,1.723110763
shanghai,2007,0,0,1,2.198289901,1.84335 ,9.803374027,0.176238053,10.45459596,10.27,1.73731526
shanghai,2008,0,0,1,2.294434734,2.66353 ,4.974209189,0.186048627,10.5454212,10.42,1.607100413
shanghai,2009,0,0,1,2.450293736,4.41476 ,4.497336564,0.198694709,10.64690722,10.96,1.259636941
shanghai,2010,0,0,1,2.551884998,3.82151 ,6.203539092,0.192409056,10.54533021,10.96,1.457525201
sichuan,2005,0,1,0,-0.197091569,0.48008 ,11.0046576,0.139765203,6.837249004,6.63,0.088014797
sichuan,2006,0,1,0,-0.041960072,0.57600 ,16.04077394,0.155046351,7.242265601,6.95,0.101556531
sichuan,2007,0,1,0,0.124112714,1.03863 ,14.06497972,0.166546587,7.433568311,7.3,0.104465137
sichuan,2008,0,1,0,0.316095225,0.57751 ,10.61634982,0.234011283,7.514706936,7.23,0.122759722
sichuan,2009,0,1,0,0.65010385,0.86005 ,13.10342974,0.253738001,7.693972767,7.56,0.116832592
sichuan,2010,0,1,0,0.866196025,1.38819 ,14.58304482,0.247766172,8.156740663,7.56,0.129370786
tianjin,2005,0,0,1,1.443461431,1.23159 ,12.31021971,0.113200397,9.512898561,7.65,1.123992772
tianjin,2006,0,0,1,1.558279737,1.54943 ,11.33286853,0.121701018,9.729238382,8.28,1.158693704
tianjin,2007,0,0,1,1.704606215,3.37095 ,11.06465201,0.128375597,9.807712514,8.59,1.044855928
tianjin,2008,0,0,1,1.822663051,3.34681 ,10.79571415,0.129144026,9.877548919,9.19,0.841378658
tianjin,2009,0,0,1,2.147267609,4.65766 ,10.52605107,0.149468256,10.05154946,9.43,0.580136524
tianjin,2010,0,0,1,2.292896275,6.56630 ,11.06465201,0.149259631,10.1640157,9.43,0.604433693
xinjiang,2005,0,1,0,0.122560989,0.10671 ,8.434114843,0.199305721,8.20328553,4.86,0.25077424
xinjiang,2006,0,1,0,0.162902514,0.17357 ,8.342160814,0.222795426,8.295374079,4.87,0.239382751
xinjiang,2007,0,1,0,0.248127175,0.29256 ,9.440067542,0.225692276,8.511337609,5.04,0.298633055
xinjiang,2008,0,1,0,0.282458458,0.28896 ,8.525984395,0.253240932,8.555796688,5.23,0.372788905
xinjiang,2009,0,1,0,0.560851047,0.27219 ,6.297479916,0.314916239,8.658009403,5.12,0.220628195
xinjiang,2010,0,1,0,0.822439624,0.63408 ,8.892620919,0.31244542,8.921725149,5.12,0.213663785
yunnan,2005,0,1,0,-0.109720393,0.16046 ,7.603468628,0.221366196,6.377819318,4.88,0.112549978
yunnan,2006,0,1,0,0.069054394,0.21747 ,10.16536537,0.224059336,6.662577009,5.57,0.12512922
yunnan,2007,0,1,0,0.228298977,0.23086 ,10.79571415,0.237865949,6.785055278,5.82,0.141114087
yunnan,2008,0,1,0,0.372623042,0.43136 ,9.349034309,0.258293922,6.901843233,6.04,0.118374831
yunnan,2009,0,1,0,0.652702004,0.52264 ,10.79571415,0.316437457,6.905297591,6.06,0.088698081
yunnan,2010,0,1,0,0.831413068,0.95211 ,10.9750864,0.316398539,7.569273599,6.06,0.125513017
zhejiang,2005,0,0,1,1.199213148,1.61570 ,10.61601958,0.094318094,7.613714694,9.57,0.658134671
zhejiang,2006,0,0,1,1.379664586,1.99182 ,11.15413747,0.093638885,8.060192914,10.37,0.708896687
zhejiang,2007,0,0,1,1.54408618,3.25794 ,12.04461531,0.096342968,8.105652635,10.92,0.723383226
zhejiang,2008,0,0,1,1.713631285,1.98367 ,8.250122151,0.102903224,8.238190424,11.16,0.690421474
zhejiang,2009,0,0,1,1.974364766,4.82611 ,7.417939817,0.115411466,8.404337651,11.8,0.557255628
zhejiang,2010,0,0,1,2.117978644,6.68262 ,9.075436327,0.115714744,8.617127836,11.8,0.620322858
hainan,2005,0,0,1,0.054438548,0.34790 ,8.9840704,0.1824,8.108647603,5.36 ,0.231963226
hainan,2006,0,0,1,0.172889153,0.26393 ,11.33286853,0.184025073,8.168986363,5.66 ,0.298592591
hainan,2007,0,0,1,0.251737863,0.65795 ,13.71498381,0.228916335,8.324695335,6.36 ,0.449996107
hainan,2008,0,0,1,0.356473284,1.43628 ,8.801087732,0.238160819,8.345297205,6.44 ,0.491476876
hainan,2009,0,0,1,0.80931456,1.52813 ,9.893994785,0.293833552,8.436929224,6.4,0.367570101
hainan,2010,0,0,1,0.956744242,2.33021 ,13.97619424,0.281587745,8.895345425,6.4,0.355372821
chongqing,2005,0,1,0,0.284689751,0.57613 ,11.15413747,0.140540269,7.391844695,6.64 ,0.101794204
chongqing,2006,0,1,0,0.446464865,0.86694 ,11.51128071,0.152090944,7.573392063,7.26 ,0.112111065
chongqing,2007,0,1,0,0.600117601,1.27470 ,14.4100344,0.16432148,7.723965177,7.40 ,0.122135086
chongqing,2008,0,1,0,0.800395028,0.82355 ,13.01506845,0.175366038,7.786963765,7.87 ,0.115353368
chongqing,2009,0,1,0,1.120415533,1.35944 ,13.19050709,0.201851345,7.934099358,8.14,0.080559392
chongqing,2010,0,1,0,1.328281866,2.54066 ,15.01426584,0.223214768,8.528984013,8.14,0.106346866
